price,bathrooms,sqft_living,grade,sqft_above,sqft_living15
221900.0,1.0,1180,7,1180,1340
538000.0,2.25,2570,7,2170,1690
180000.0,1.0,770,6,770,2720
604000.0,3.0,1960,7,1050,1360
510000.0,2.0,1680,8,1680,1800
1225000.0,4.5,5420,11,3890,4760
257500.0,2.25,1715,7,1715,2238
291850.0,1.5,1060,7,1060,1650
229500.0,1.0,1780,7,1050,1780
323000.0,2.5,1890,7,1890,2390
662500.0,2.5,3560,8,1860,2210
468000.0,1.0,1160,7,860,1330
310000.0,1.0,1430,7,1430,1780
400000.0,1.75,1370,7,1370,1370
530000.0,2.0,1810,7,1810,1360
650000.0,3.0,2950,9,1980,2140
395000.0,2.0,1890,7,1890,1890
485000.0,1.0,1600,7,1600,1610
189000.0,1.0,1200,7,1200,1060
230000.0,1.0,1250,7,1250,1280
385000.0,1.75,1620,7,860,1400
2000000.0,2.75,3050,9,2330,4110
285000.0,2.5,2270,8,2270,2240
252700.0,1.5,1070,7,1070,1220
329000.0,2.25,2450,8,2450,2200
233000.0,2.0,1710,6,1710,1030
937000.0,1.75,2450,8,1750,1760
667000.0,1.0,1400,8,1400,1860
438000.0,1.75,1520,7,790,1520
719000.0,2.5,2570,8,2570,2630
580500.0,2.5,2320,8,2320,2580
280000.0,1.5,1190,7,1190,1390
687500.0,1.75,2330,7,1510,1460
535000.0,1.0,1090,8,1090,1570
322500.0,2.75,2060,7,1280,2020
696000.0,2.5,2300,8,1510,1590
550000.0,1.0,1660,5,930,2160
640000.0,2.0,2360,8,2360,1730
240000.0,1.0,1220,7,890,1290
605000.0,2.5,2620,8,2620,2620
625000.0,2.5,2570,9,2570,2470
775000.0,2.25,4220,8,2600,2410
861990.0,2.75,3595,9,3595,3625
685000.0,1.0,1570,7,1570,1580
309000.0,1.0,1280,6,920,1340
488000.0,2.5,3160,8,3160,3050
210490.0,1.0,990,6,990,1228
785000.0,2.5,2290,9,2290,2680
450000.0,1.75,1250,7,1250,970
1350000.0,2.5,2753,9,2165,2680
228000.0,1.0,1190,7,1190,1190
345000.0,2.5,3150,8,1640,1990
600000.0,1.75,1410,7,1000,1410
585000.0,1.75,1980,7,990,1480
920000.0,2.25,2730,8,2130,2730
885000.0,2.5,2830,9,2830,1950
292500.0,2.5,2250,7,2250,2250
301000.0,2.5,2420,8,2420,2690
951000.0,3.25,3250,8,3250,2960
430000.0,3.0,1850,8,1850,2270
650000.0,2.25,2150,8,1590,2570
289000.0,1.75,1260,7,1260,1290
505000.0,1.75,2519,8,2519,2500
549000.0,1.75,1540,8,1540,1580
425000.0,2.25,1660,7,1110,1440
317625.0,2.75,2770,7,1770,1440
